file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0004.jpg,2048,1546,4,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0005.jpg,2048,1546,5,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0006.jpg,2048,1546,6,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0007.jpg,2048,1546,7,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0008.jpg,2048,1546,8,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0009.jpg,2048,1531,9,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0010.jpg,2048,1514,10,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0011.jpg,2048,1540,11,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0012.jpg,2048,1540,12,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0013.jpg,2048,1540,13,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0014.jpg,2048,1540,14,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0015.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0015.jpg,2048,1540,15,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i02-p0016.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i02-p0016.jpg,1370,2048,16,dra037-s01-b002-f029-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i03-p0001.jpg,1595,2048,1,dra037-s01-b002-f029-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i04-p0001.jpg,1577,2048,1,dra037-s01-b002-f029-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0001.jpg,2048,1591,1,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0002.jpg,2048,1591,2,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0003.jpg,2048,1574,3,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0004.jpg,2048,1591,4,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0005.jpg,2048,1588,5,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0006.jpg,2048,1588,6,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0007.jpg,2048,1588,7,dra037-s01-b002-f029-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f029-i05-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f029-i05-p0008.jpg,1323,2048,8,dra037-s01-b002-f029-i05
